Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  171.64.249.19         228   0014.c240.a576  ARPA   Vlan249
Internet  172.24.249.73           7   0024.36f4.43a5  ARPA   Vlan249
Internet  192.168.249.149         -   0011.21b3.cb00  ARPA   Vlan290
Internet  172.24.249.72         228   001e.4f40.c0cc  ARPA   Vlan249
Internet  171.64.249.23         228   0016.355b.9064  ARPA   Vlan249
Internet  171.64.249.20          69   a4ba.db27.cbad  ARPA   Vlan249
Internet  192.168.249.150        20   000a.4271.2d7c  ARPA   Vlan290
Internet  172.24.249.69         228   0011.bb1a.c740  ARPA   Vlan249
Internet  171.64.249.27          99   0016.355a.6d3c  ARPA   Vlan249
Internet  171.64.249.25           2   0019.b9e4.a3c7  ARPA   Vlan249
Internet  192.168.249.157         -   0011.21b3.cb00  ARPA   Vlan295
Internet  172.24.249.67         228   04fe.7f3d.4fc0  ARPA   Vlan249
Internet  171.64.249.29         228   000b.cdfd.b5d0  ARPA   Vlan249
Internet  192.168.249.158        21   000a.4271.2d7c  ARPA   Vlan295
Internet  171.64.249.1          228   0000.0c07.acf9  ARPA   Vlan249
Internet  192.168.249.133         -   0011.21b3.cb00  ARPA   Vlan294
Internet  171.64.249.4           56   000a.4271.2d7c  ARPA   Vlan249
Internet  192.168.249.134        21   000a.4271.2d7c  ARPA   Vlan294
Internet  171.64.249.5            -   0011.21b3.cb00  ARPA   Vlan249
Internet  171.64.249.10          36   0021.9b98.d295  ARPA   Vlan249
Internet  171.64.1.242            2   000a.4271.2d7c  ARPA   Vlan555
Internet  171.64.1.241            -   0011.21b3.cb00  ARPA   Vlan555
Internet  171.64.249.14         228   001e.c9fc.c690  ARPA   Vlan249
Internet  171.64.249.15           0   Incomplete      ARPA   
Internet  172.20.4.161           56   0015.c727.e980  ARPA   Vlan2
Internet  171.64.1.247            0   0060.fb60.2a69  ARPA   Vlan555
Internet  171.64.249.12           0   Incomplete      ARPA   
Internet  171.64.1.244            0   Incomplete      ARPA   
Internet  172.20.4.162           56   0015.c727.a4c0  ARPA   Vlan2
Internet  171.64.249.50          22   0017.f293.ba30  ARPA   Vlan249
Internet  171.64.249.51           1   0017.f293.ba32  ARPA   Vlan249
Internet  171.64.249.48          13   000e.0c30.f938  ARPA   Vlan249
Internet  171.64.249.54         228   0009.0f13.359e  ARPA   Vlan249
Internet  192.168.249.181         -   0011.21b3.cb00  ARPA   Vlan292
