Prefix               Next Hop             Interface
0.0.0.0/0            172.20.4.2           Vlan2
0.0.0.0/8            drop
0.0.0.0/32           receive              
10.0.0.0/8           attached             Null0
10.3.0.0/16          172.20.4.129         Vlan2
10.12.0.0/15         172.20.4.2           Vlan2
10.12.0.0/16         172.20.4.2           Vlan2
10.14.0.0/16         172.20.4.2           Vlan2
10.15.0.0/16         172.20.4.2           Vlan2
10.20.0.0/16         172.20.5.33          Vlan2
10.22.0.0/15         172.20.4.2           Vlan2
10.22.0.0/16         172.20.4.2           Vlan2
10.30.0.0/20         172.20.2.17          Vlan22
10.30.16.0/20        172.20.2.17          Vlan22
10.30.32.0/20        172.20.2.17          Vlan22
10.30.48.0/20        172.20.2.17          Vlan22
10.30.64.0/20        172.20.2.17          Vlan22
10.30.80.0/20        172.20.2.17          Vlan22
10.30.96.0/20        172.20.2.17          Vlan22
10.30.112.0/20       172.20.2.17          Vlan22
10.30.128.0/20       172.20.2.17          Vlan22
10.30.144.0/20       172.20.2.17          Vlan22
10.31.0.0/20         172.20.2.129         Vlan22
10.31.16.0/20        172.20.2.129         Vlan22
10.31.32.0/20        172.20.2.129         Vlan22
10.31.48.0/20        172.20.2.129         Vlan22
10.31.64.0/20        172.20.2.129         Vlan22
10.31.80.0/20        172.20.2.129         Vlan22
10.31.96.0/20        172.20.2.129         Vlan22
10.31.112.0/20       172.20.2.129         Vlan22
10.31.128.0/20       172.20.2.129         Vlan22
10.31.144.0/20       172.20.2.129         Vlan22
10.31.160.0/20       172.20.2.129         Vlan22
10.31.176.0/20       172.20.2.129         Vlan22
10.31.192.0/20       172.20.2.129         Vlan22
10.31.208.0/20       172.20.2.129         Vlan22
10.31.224.0/20       172.20.2.129         Vlan22
10.31.240.0/20       172.20.2.129         Vlan22
10.32.0.0/15         171.64.1.22          GigabitEthernet4/6
10.32.8.0/21         171.64.1.102         Vlan92
10.32.16.0/21        171.64.1.102         Vlan92
10.32.24.0/21        171.64.1.102         Vlan92
10.32.40.0/21        171.64.1.102         Vlan92
10.32.48.0/21        171.64.1.102         Vlan92
10.32.56.0/21        171.64.1.102         Vlan92
10.32.64.0/21        171.64.1.102         Vlan92
10.32.72.0/21        171.64.1.102         Vlan92
10.32.88.0/21        171.64.1.102         Vlan92
10.32.96.0/21        171.64.1.102         Vlan92
10.32.104.0/21       171.64.1.102         Vlan92
10.32.112.0/21       171.64.1.102         Vlan92
10.32.128.0/21       171.64.1.102         Vlan92
10.32.136.0/21       171.64.1.102         Vlan92
10.32.144.0/21       171.64.1.102         Vlan92
10.32.152.0/21       171.64.1.102         Vlan92
10.32.160.0/21       171.64.1.102         Vlan92
10.32.176.0/21       171.64.1.102         Vlan92
10.32.192.0/21       171.64.1.102         Vlan92
10.32.200.0/21       171.64.1.102         Vlan92
10.32.208.0/21       171.64.1.102         Vlan92
10.32.224.0/21       171.64.1.102         Vlan92
10.32.232.0/21       171.64.1.102         Vlan92
10.32.240.0/21       171.64.1.102         Vlan92
10.32.248.0/21       171.64.1.102         Vlan92
10.33.0.0/21         171.64.1.102         Vlan92
10.33.16.0/21        171.64.1.102         Vlan92
10.33.24.0/21        171.64.1.102         Vlan92
10.33.32.0/21        171.64.1.102         Vlan92
10.33.40.0/21        171.64.1.102         Vlan92
10.33.56.0/21        171.64.1.102         Vlan92
10.33.64.0/21        171.64.1.102         Vlan92
10.33.80.0/21        171.64.1.102         Vlan92
10.33.96.0/21        171.64.1.102         Vlan92
10.33.112.0/21       171.64.1.102         Vlan92
10.33.128.0/21       171.64.1.102         Vlan92
10.33.136.0/21       171.64.1.102         Vlan92
10.33.144.0/21       171.64.1.102         Vlan92
10.33.152.0/21       171.64.1.102         Vlan92
10.33.176.0/21       171.64.1.102         Vlan92
10.33.200.0/21       171.64.1.102         Vlan92
10.39.0.0/16         172.20.4.98          Vlan2
10.39.0.0/17         172.20.4.98          Vlan2
10.39.16.0/22        172.20.4.98          Vlan2
10.39.32.0/20        172.20.4.97          Vlan2
10.48.8.0/23         172.20.4.161         Vlan2
10.48.12.0/22        172.20.4.161         Vlan2
10.48.16.0/21        172.20.4.161         Vlan2
10.48.32.0/19        172.20.4.161         Vlan2
10.50.0.0/16         172.20.4.98          Vlan2
10.62.0.0/20         172.20.4.193         Vlan2
10.62.16.0/20        172.20.2.17          Vlan22
10.62.32.0/20        172.20.4.65          Vlan2
10.62.48.0/20        172.20.4.98          Vlan2
10.62.64.0/20        172.20.4.129         Vlan2
10.62.80.0/20        172.20.4.161         Vlan2
10.62.96.0/20        172.20.4.193         Vlan2
10.62.112.0/20       172.20.4.225         Vlan2
10.62.128.0/20       172.20.2.129         Vlan22
10.62.144.0/20       172.20.5.33          Vlan2
10.63.16.0/20        172.20.2.18          Vlan22
10.63.32.0/20        172.20.4.65          Vlan2
10.63.48.0/20        172.20.4.98          Vlan2
10.63.80.0/20        172.20.4.161         Vlan2
10.63.96.0/20        172.20.4.193         Vlan2
10.63.112.0/20       172.20.4.225         Vlan2
10.63.128.0/20       172.20.2.130         Vlan22
10.64.0.0/14         172.20.4.2           Vlan2
10.75.216.0/22       172.20.4.161         Vlan2
10.75.223.0/24       172.20.4.161         Vlan2
10.84.0.0/14         172.20.4.2           Vlan2
10.200.0.0/16        172.20.4.161         Vlan2
10.232.0.0/13        172.20.4.98          Vlan2
10.240.0.0/12        172.20.4.98          Vlan2
10.247.0.0/16        172.20.4.98          Vlan2
10.248.0.0/13        172.20.4.98          Vlan2
38.0.0.0/8           172.20.4.2           Vlan2
38.114.142.0/23      172.20.4.2           Vlan2
38.114.143.248/29    172.20.4.2           Vlan2
66.250.7.136/30      172.20.4.2           Vlan2
68.65.160.0/20       172.20.4.2           Vlan2
68.65.164.0/22       172.20.4.2           Vlan2
68.65.168.75/32      172.20.4.2           Vlan2
68.65.168.81/32      172.20.4.2           Vlan2
68.65.168.83/32      172.20.4.2           Vlan2
68.65.168.84/32      172.20.4.2           Vlan2
68.65.168.86/32      172.20.4.2           Vlan2
68.65.168.87/32      172.20.4.2           Vlan2
68.65.168.89/32      172.20.4.2           Vlan2
68.65.168.90/32      172.20.4.2           Vlan2
68.65.168.93/32      172.20.4.2           Vlan2
