Prefix               Next Hop             Interface
0.0.0.0/0            172.20.10.2          Vlan11
0.0.0.0/8            drop
0.0.0.0/32           receive              
10.0.0.0/8           attached             Null0
10.3.0.0/16          172.20.6.129         Vlan3
10.12.0.0/15         172.20.10.2          Vlan11
10.12.0.0/16         172.20.10.2          Vlan11
10.14.0.0/16         172.20.10.2          Vlan11
10.15.0.0/16         172.20.10.2          Vlan11
10.20.0.0/16         172.20.7.33          Vlan3
10.22.0.0/15         172.20.10.2          Vlan11
10.22.0.0/16         172.20.10.2          Vlan11
10.30.0.0/20         172.20.3.17          Vlan23
10.30.16.0/20        172.20.3.17          Vlan23
10.30.32.0/20        172.20.3.17          Vlan23
10.30.48.0/20        172.20.3.17          Vlan23
10.30.64.0/20        172.20.3.17          Vlan23
10.30.80.0/20        172.20.3.17          Vlan23
10.30.96.0/20        172.20.3.17          Vlan23
10.30.112.0/20       172.20.3.17          Vlan23
10.30.128.0/20       172.20.3.17          Vlan23
10.30.144.0/20       172.20.3.17          Vlan23
10.31.0.0/20         172.20.3.129         Vlan23
10.31.16.0/20        172.20.3.129         Vlan23
10.31.32.0/20        172.20.3.129         Vlan23
10.31.48.0/20        172.20.3.129         Vlan23
10.31.64.0/20        172.20.3.129         Vlan23
10.31.80.0/20        172.20.3.129         Vlan23
10.31.96.0/20        172.20.3.129         Vlan23
10.31.112.0/20       172.20.3.129         Vlan23
10.31.128.0/20       172.20.3.129         Vlan23
10.31.144.0/20       172.20.3.129         Vlan23
10.31.160.0/20       172.20.3.129         Vlan23
10.31.176.0/20       172.20.3.129         Vlan23
10.31.192.0/20       172.20.3.129         Vlan23
10.31.208.0/20       172.20.3.129         Vlan23
10.31.224.0/20       172.20.3.129         Vlan23
10.31.240.0/20       172.20.3.129         Vlan23
10.32.0.0/15         171.64.1.30          GigabitEthernet4/4.18
10.32.8.0/21         171.64.1.110         Vlan94
10.32.16.0/21        171.64.1.110         Vlan94
10.32.24.0/21        171.64.1.110         Vlan94
10.32.40.0/21        171.64.1.110         Vlan94
10.32.48.0/21        171.64.1.110         Vlan94
10.32.56.0/21        171.64.1.110         Vlan94
10.32.64.0/21        171.64.1.110         Vlan94
10.32.72.0/21        171.64.1.110         Vlan94
10.32.88.0/21        171.64.1.110         Vlan94
10.32.96.0/21        171.64.1.110         Vlan94
10.32.104.0/21       171.64.1.110         Vlan94
10.32.112.0/21       171.64.1.110         Vlan94
10.32.128.0/21       171.64.1.110         Vlan94
10.32.136.0/21       171.64.1.110         Vlan94
10.32.144.0/21       171.64.1.110         Vlan94
10.32.152.0/21       171.64.1.110         Vlan94
10.32.160.0/21       171.64.1.110         Vlan94
10.32.176.0/21       171.64.1.110         Vlan94
10.32.192.0/21       171.64.1.110         Vlan94
10.32.200.0/21       171.64.1.110         Vlan94
10.32.208.0/21       171.64.1.110         Vlan94
10.32.224.0/21       171.64.1.110         Vlan94
10.32.232.0/21       171.64.1.110         Vlan94
10.32.240.0/21       171.64.1.110         Vlan94
10.32.248.0/21       171.64.1.110         Vlan94
