Prefix               Next Hop             Interface
0.0.0.0/0            172.20.4.1           TenGigabitEthernet3/1.2
0.0.0.0/8            drop
0.0.0.0/32           receive              
10.0.0.0/8           172.20.4.1           TenGigabitEthernet3/1.2
10.3.0.0/16          172.20.4.1           TenGigabitEthernet3/1.2
10.20.0.0/16         172.20.4.1           TenGigabitEthernet3/1.2
10.39.0.0/16         172.20.4.1           TenGigabitEthernet3/1.2
10.39.0.0/17         172.20.4.1           TenGigabitEthernet3/1.2
10.39.16.0/22        172.20.4.1           TenGigabitEthernet3/1.2
10.39.32.0/20        172.20.4.1           TenGigabitEthernet3/1.2
10.48.8.0/23         172.20.4.1           TenGigabitEthernet3/1.2
10.48.12.0/22        172.20.4.1           TenGigabitEthernet3/1.2
10.48.16.0/21        172.20.4.1           TenGigabitEthernet3/1.2
10.48.32.0/19        172.20.4.1           TenGigabitEthernet3/1.2
10.50.0.0/16         172.20.4.1           TenGigabitEthernet3/1.2
10.62.0.0/20         171.66.4.220         Vlan207
10.62.32.0/20        172.20.4.1           TenGigabitEthernet3/1.2
10.62.48.0/20        172.20.4.1           TenGigabitEthernet3/1.2
10.62.64.0/20        172.20.4.1           TenGigabitEthernet3/1.2
10.62.80.0/20        172.20.4.1           TenGigabitEthernet3/1.2
10.62.96.0/20        172.20.10.193        Vlan10
10.62.112.0/20       172.20.4.225         TenGigabitEthernet3/1.2
10.62.144.0/20       172.20.4.1           TenGigabitEthernet3/1.2
10.63.32.0/20        172.20.4.1           TenGigabitEthernet3/1.2
10.63.48.0/20        172.20.4.1           TenGigabitEthernet3/1.2
10.63.80.0/20        172.20.4.1           TenGigabitEthernet3/1.2
10.63.96.0/20        192.168.209.54       Vlan209
10.63.112.0/20       172.20.4.225         TenGigabitEthernet3/1.2
10.75.216.0/22       172.20.4.1           TenGigabitEthernet3/1.2
10.75.223.0/24       172.20.4.1           TenGigabitEthernet3/1.2
10.200.0.0/16        172.20.4.1           TenGigabitEthernet3/1.2
10.232.0.0/13        172.20.4.1           TenGigabitEthernet3/1.2
10.240.0.0/12        172.20.4.1           TenGigabitEthernet3/1.2
10.247.0.0/16        172.20.4.1           TenGigabitEthernet3/1.2
10.248.0.0/13        172.20.4.1           TenGigabitEthernet3/1.2
127.0.0.0/8          drop
128.12.0.0/16        172.20.4.1           TenGigabitEthernet3/1.2
171.64.0.0/14        172.20.4.1           TenGigabitEthernet3/1.2
171.64.0.18/32       172.20.4.1           TenGigabitEthernet3/1.2
171.64.0.24/32       172.20.4.11          TenGigabitEthernet3/1.2
                     172.20.6.11          TenGigabitEthernet2/1.3
171.64.2.0/26        172.20.4.1           TenGigabitEthernet3/1.2
171.64.2.128/27      172.20.4.1           TenGigabitEthernet3/1.2
171.64.2.192/29      172.20.4.1           TenGigabitEthernet3/1.2
171.64.2.200/29      172.20.4.1           TenGigabitEthernet3/1.2
171.64.7.0/27        172.20.4.1           TenGigabitEthernet3/1.2
171.64.7.64/27       172.20.4.1           TenGigabitEthernet3/1.2
171.64.7.96/27       172.20.4.1           TenGigabitEthernet3/1.2
171.64.7.128/26      172.20.4.1           TenGigabitEthernet3/1.2
171.64.7.216/29      172.20.4.1           TenGigabitEthernet3/1.2
171.64.7.232/29      172.20.4.1           TenGigabitEthernet3/1.2
171.64.7.240/29      172.20.4.1           TenGigabitEthernet3/1.2
171.64.8.0/23        172.20.10.195        Vlan10
171.64.8.1/32        172.20.10.195        Vlan10
171.64.10.0/23       172.20.4.1           TenGigabitEthernet3/1.2
171.64.12.0/25       attached             Vlan298
171.64.12.0/32       receive              Vlan298
171.64.12.2/32       receive              Vlan298
171.64.12.3/32       attached             Vlan298
171.64.12.127/32     receive              Vlan298
