Prefix               Next Hop             Interface
0.0.0.0/0            172.20.4.1           TenGigabitEthernet2/1.2
0.0.0.0/8            drop
0.0.0.0/32           receive              
10.0.0.0/8           172.20.4.1           TenGigabitEthernet2/1.2
10.3.0.0/16          172.20.4.129         TenGigabitEthernet2/1.2
10.20.0.0/16         172.20.4.1           TenGigabitEthernet2/1.2
10.39.0.0/16         172.20.4.1           TenGigabitEthernet2/1.2
10.39.0.0/17         172.20.4.1           TenGigabitEthernet2/1.2
10.39.16.0/22        172.20.4.1           TenGigabitEthernet2/1.2
10.39.32.0/20        172.20.4.1           TenGigabitEthernet2/1.2
10.48.8.0/23         172.20.4.161         TenGigabitEthernet2/1.2
10.48.12.0/22        172.20.4.161         TenGigabitEthernet2/1.2
10.48.16.0/21        172.20.4.161         TenGigabitEthernet2/1.2
10.48.32.0/19        172.20.4.161         TenGigabitEthernet2/1.2
10.50.0.0/16         172.20.4.1           TenGigabitEthernet2/1.2
10.62.0.0/20         172.20.4.1           TenGigabitEthernet2/1.2
10.62.32.0/20        192.168.209.18       Vlan209
10.62.48.0/20        172.20.4.1           TenGigabitEthernet2/1.2
10.62.64.0/20        172.20.4.129         TenGigabitEthernet2/1.2
10.62.80.0/20        172.20.4.161         TenGigabitEthernet2/1.2
10.62.96.0/20        172.20.4.1           TenGigabitEthernet2/1.2
10.62.112.0/20       172.20.4.1           TenGigabitEthernet2/1.2
10.62.144.0/20       172.20.4.1           TenGigabitEthernet2/1.2
10.63.32.0/20        172.20.10.66         Vlan10
10.63.48.0/20        172.20.4.1           TenGigabitEthernet2/1.2
10.63.80.0/20        172.20.4.161         TenGigabitEthernet2/1.2
10.63.96.0/20        172.20.4.1           TenGigabitEthernet2/1.2
10.63.112.0/20       172.20.4.1           TenGigabitEthernet2/1.2
10.75.216.0/22       172.20.4.161         TenGigabitEthernet2/1.2
10.75.223.0/24       172.20.4.161         TenGigabitEthernet2/1.2
10.200.0.0/16        172.20.4.161         TenGigabitEthernet2/1.2
10.232.0.0/13        172.20.4.1           TenGigabitEthernet2/1.2
10.240.0.0/12        172.20.4.1           TenGigabitEthernet2/1.2
10.247.0.0/16        172.20.4.1           TenGigabitEthernet2/1.2
10.248.0.0/13        172.20.4.1           TenGigabitEthernet2/1.2
127.0.0.0/8          drop
128.12.0.0/16        172.20.4.1           TenGigabitEthernet2/1.2
171.64.0.0/14        172.20.4.1           TenGigabitEthernet2/1.2
171.64.0.18/32       172.20.4.129         TenGigabitEthernet2/1.2
171.64.2.0/26        172.26.4.84          Vlan206
171.64.2.128/27      172.26.4.84          Vlan206
171.64.2.192/29      172.20.4.1           TenGigabitEthernet2/1.2
171.64.2.200/29      172.20.4.161         TenGigabitEthernet2/1.2
171.64.7.0/27        172.20.4.1           TenGigabitEthernet2/1.2
171.64.7.64/27       172.20.4.1           TenGigabitEthernet2/1.2
171.64.7.96/27       172.20.4.1           TenGigabitEthernet2/1.2
171.64.7.128/26      172.20.4.1           TenGigabitEthernet2/1.2
171.64.7.216/29      172.20.4.1           TenGigabitEthernet2/1.2
171.64.7.232/29      172.20.4.1           TenGigabitEthernet2/1.2
171.64.7.240/29      172.20.4.1           TenGigabitEthernet2/1.2
171.64.8.0/23        172.20.4.1           TenGigabitEthernet2/1.2
171.64.10.0/23       172.20.6.1           TenGigabitEthernet3/1.3
171.64.12.0/25       172.20.4.1           TenGigabitEthernet2/1.2
171.64.12.128/26     172.20.4.1           TenGigabitEthernet2/1.2
171.64.13.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.14.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.15.0/27       172.20.4.129         TenGigabitEthernet2/1.2
171.64.15.32/27      172.20.4.129         TenGigabitEthernet2/1.2
171.64.15.64/27      172.20.4.129         TenGigabitEthernet2/1.2
171.64.15.96/27      172.20.4.129         TenGigabitEthernet2/1.2
171.64.15.160/27     172.20.4.129         TenGigabitEthernet2/1.2
171.64.15.192/27     172.20.4.1           TenGigabitEthernet2/1.2
171.64.15.224/27     172.20.4.1           TenGigabitEthernet2/1.2
171.64.16.0/25       172.20.4.1           TenGigabitEthernet2/1.2
171.64.16.128/25     172.20.4.1           TenGigabitEthernet2/1.2
171.64.17.0/27       172.20.4.1           TenGigabitEthernet2/1.2
171.64.17.64/27      172.20.4.1           TenGigabitEthernet2/1.2
171.64.17.128/27     172.20.4.1           TenGigabitEthernet2/1.2
171.64.17.208/29     172.20.4.1           TenGigabitEthernet2/1.2
171.64.17.240/28     172.20.4.1           TenGigabitEthernet2/1.2
171.64.18.0/23       172.20.4.1           TenGigabitEthernet2/1.2
171.64.20.0/23       172.20.4.1           TenGigabitEthernet2/1.2
171.64.22.0/23       172.20.4.1           TenGigabitEthernet2/1.2
171.64.24.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.25.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.26.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.27.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.28.0/24       172.20.4.161         TenGigabitEthernet2/1.2
171.64.29.0/24       172.20.4.161         TenGigabitEthernet2/1.2
171.64.30.0/24       172.20.4.161         TenGigabitEthernet2/1.2
171.64.31.0/25       172.20.4.161         TenGigabitEthernet2/1.2
171.64.31.128/27     172.20.4.161         TenGigabitEthernet2/1.2
171.64.32.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.33.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.34.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.35.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.36.0/23       172.20.4.1           TenGigabitEthernet2/1.2
171.64.38.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.39.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.40.0/23       172.20.4.1           TenGigabitEthernet2/1.2
171.64.42.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.43.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.44.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.45.0/24       172.20.4.1           TenGigabitEthernet2/1.2
171.64.47.0/25       172.20.4.1           TenGigabitEthernet2/1.2
171.64.48.0/24       172.20.10.67         Vlan10
171.64.48.1/32       172.20.10.67         Vlan10
171.64.49.0/24       172.20.10.67         Vlan10
171.64.49.1/32       172.20.10.67         Vlan10
171.64.50.0/24       172.20.10.67         Vlan10
171.64.50.1/32       172.20.10.67         Vlan10
171.64.51.0/24       172.20.10.67         Vlan10
171.64.51.1/32       172.20.10.67         Vlan10
171.64.52.0/22       172.20.10.67         Vlan10
171.64.52.1/32       172.20.10.67         Vlan10
171.64.56.0/22       172.20.10.67         Vlan10
171.64.56.1/32       172.20.10.67         Vlan10
171.64.60.0/22       172.20.10.67         Vlan10
171.64.60.1/32       172.20.10.67         Vlan10
171.64.64.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.65.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.66.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.67.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.68.0/23       172.20.4.129         TenGigabitEthernet2/1.2
171.64.70.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.71.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.72.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.73.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.74.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.75.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.76.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.77.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.78.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.79.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.79.128/28     172.20.4.129         TenGigabitEthernet2/1.2
171.64.84.0/22       172.20.10.67         Vlan10
171.64.84.1/32       172.20.10.67         Vlan10
171.64.88.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.89.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.90.0/23       172.20.4.129         TenGigabitEthernet2/1.2
171.64.92.0/23       172.20.4.129         TenGigabitEthernet2/1.2
171.64.94.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.95.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.96.0/23       172.20.4.129         TenGigabitEthernet2/1.2
171.64.98.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.99.0/24       172.20.4.129         TenGigabitEthernet2/1.2
171.64.100.0/23      172.20.4.129         TenGigabitEthernet2/1.2
171.64.102.0/24      172.20.10.67         Vlan10
171.64.102.1/32      172.20.10.67         Vlan10
171.64.103.0/24      attached             Vlan700
171.64.103.0/32      receive              Vlan700
171.64.103.1/32      receive              
171.64.103.2/32      receive              Vlan700
171.64.103.3/32      attached             Vlan700
171.64.103.10/32     attached             Vlan700
171.64.103.11/32     attached             Vlan700
