Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.31.240.229           4   0025.0047.1f44  ARPA   Vlan516
Internet  10.31.131.150          60   109a.ddb2.fe9e  ARPA   Vlan508
Internet  10.31.112.101         142   7cc5.37f8.b0d1  ARPA   Vlan506
Internet  10.31.207.218         203   d8b3.777a.271c  ARPA   Vlan514
Internet  10.31.40.61            19   e4ce.8f2b.cb9e  ARPA   Vlan502
Internet  10.31.48.37           229   0024.3659.e103  ARPA   Vlan502
Internet  10.31.108.121         165   6033.4bf1.2f85  ARPA   Vlan506
Internet  172.19.142.49           0   001e.7abe.dc76  ARPA   Vlan506
Internet  10.31.168.189           0   0022.5fb8.536f  ARPA   Vlan510
Internet  10.31.176.165           5   0023.68bc.707a  ARPA   Vlan510
Internet  172.19.145.46           0   0022.9090.ba95  ARPA   Vlan508
Internet  172.19.140.51           0   001e.be25.23b4  ARPA   Vlan504
Internet  172.19.124.195          0   c471.fed9.391b  ARPA   Vlan500
Internet  172.19.60.131           0   0018.742f.a3c0  ARPA   Vlan400
Internet  172.19.152.39           0   0023.33bb.fb90  ARPA   Vlan516
Internet  172.19.146.45           0   0022.9090.b096  ARPA   Vlan510
Internet  172.19.144.47           0   0022.9091.23fe  ARPA   Vlan508
Internet  172.19.150.41           0   0022.bd1a.0619  ARPA   Vlan514
Internet  172.19.61.130           -   0018.741c.a180  ARPA   Vlan368
Internet  10.31.81.69             0   Incomplete      ARPA   
Internet  10.31.0.20             11   0023.eb01.cdeb  ARPA   Vlan500
Internet  10.31.130.150           3   5cda.d492.bf11  ARPA   Vlan508
Internet  10.31.207.219          71   40a6.d90a.d3e1  ARPA   Vlan514
Internet  10.31.240.228         138   0026.4ae6.3f4a  ARPA   Vlan516
Internet  10.31.113.101         138   0022.411e.7fae  ARPA   Vlan506
Internet  10.31.15.27             3   001c.b3b5.194c  ARPA   Vlan500
Internet  10.31.144.132          14   38e7.d87c.6f45  ARPA   Vlan508
Internet  10.31.177.165         233   18e7.f4fe.7a99  ARPA   Vlan510
Internet  10.31.48.36             4   c8bc.c8c8.8400  ARPA   Vlan502
Internet  172.19.142.48           0   001d.e556.dc0c  ARPA   Vlan506
Internet  10.31.96.116            2   d830.6249.9e99  ARPA   Vlan506
Internet  172.19.144.46           0   0022.9091.2496  ARPA   Vlan508
Internet  172.19.145.47          61   0026.52a5.eac0  ARPA   Vlan508
Internet  172.19.140.50           0   0019.5508.5ac4  ARPA   Vlan504
Internet  172.19.146.44           0   0022.9090.a925  ARPA   Vlan510
Internet  172.19.124.194          0   e05f.b91c.78c5  ARPA   Vlan500
Internet  172.19.152.38           0   0021.d848.66c2  ARPA   Vlan516
Internet  172.19.150.40           0   0022.bd1a.04e8  ARPA   Vlan514
Internet  172.19.61.131           0   0018.742f.a3c0  ARPA   Vlan368
Internet  172.19.63.129           -   0018.741c.a180  ARPA   Vlan418
Internet  172.19.60.130           -   0018.741c.a180  ARPA   Vlan400
Internet  10.31.240.231          83   60fb.42c9.a9e2  ARPA   Vlan516
Internet  10.31.176.167          93   6033.4bfd.6326  ARPA   Vlan510
Internet  10.31.49.38           162   64a7.6998.6ef6  ARPA   Vlan502
Internet  10.31.177.166         126   e4ce.8f3f.e1c8  ARPA   Vlan510
Internet  10.31.145.134         171   0026.08e8.2074  ARPA   Vlan508
Internet  10.31.7.16            132   64b9.e891.25f6  ARPA   Vlan500
Internet  10.31.113.102          65   0026.82ab.135d  ARPA   Vlan506
Internet  10.31.132.147         174   5855.ca05.1b85  ARPA   Vlan508
Internet  172.19.142.51           0   001f.ca26.fb02  ARPA   Vlan506
Internet  10.31.111.120         170   0026.bb0c.779e  ARPA   Vlan506
Internet  10.31.168.191          20   0022.5f3d.e0b4  ARPA   Vlan510
Internet  172.19.145.44           0   6400.f1d5.917e  ARPA   Vlan508
Internet  172.19.140.49           0   0019.5508.5a52  ARPA   Vlan504
Internet  172.19.152.37           0   0019.3076.4020  ARPA   Vlan516
Internet  172.19.146.47           0   0022.9090.b151  ARPA   Vlan510
Internet  172.19.124.193          0   1cdf.0f95.1174  ARPA   Vlan500
Internet  172.19.150.43           0   0022.bd1a.0616  ARPA   Vlan514
Internet  172.19.144.45         174   aca0.1644.78c0  ARPA   Vlan508
Internet  172.19.60.129           -   0000.0c07.ac0a  ARPA   Vlan400
Internet  10.31.48.38             1   6033.4b2b.330d  ARPA   Vlan502
Internet  10.31.176.166          10   e806.885c.b043  ARPA   Vlan510
Internet  10.31.0.22             43   0026.0bf1.d4eb  ARPA   Vlan500
Internet  10.31.168.190         172   0023.6c96.aa2f  ARPA   Vlan510
Internet  10.31.7.17            177   58b0.3527.1f41  ARPA   Vlan500
Internet  10.31.144.134         210   e806.88a4.6385  ARPA   Vlan508
Internet  10.31.177.167          72   5c59.4829.c877  ARPA   Vlan510
Internet  172.19.142.50           0   0023.33bb.fc12  ARPA   Vlan506
Internet  172.19.145.45           0   6400.f1d5.918b  ARPA   Vlan508
Internet  172.19.140.48         226   001f.c968.9040  ARPA   Vlan504
Internet  172.19.152.36           0   0017.95b1.1b26  ARPA   Vlan516
Internet  172.19.124.192          0   e05f.b91c.7763  ARPA   Vlan500
Internet  172.19.146.46           0   0022.9090.b5e8  ARPA   Vlan510
Internet  172.19.144.44         214   0025.465c.c0c0  ARPA   Vlan508
Internet  172.19.150.42           0   0022.bd18.85c2  ARPA   Vlan514
Internet  172.19.61.129           -   0000.0c07.ac0a  ARPA   Vlan368
Internet  172.19.62.130           -   0018.741c.a180  ARPA   Vlan340
Internet  10.31.207.222          13   e4ce.8f1c.9014  ARPA   Vlan514
Internet  10.31.145.128          51   0018.41e9.29f6  ARPA   Vlan508
Internet  10.31.81.64           173   cc08.e033.7c1f  ARPA   Vlan504
Internet  10.31.7.22            224   040c.ced4.5ada  ARPA   Vlan500
Internet  10.31.177.160         131   3415.9e9a.e4ad  ARPA   Vlan510
Internet  10.31.113.96          233   cc08.e041.2eac  ARPA   Vlan506
Internet  10.31.176.161         164   24ab.81c6.5185  ARPA   Vlan510
Internet  172.19.142.53         198   0022.0d3b.6340  ARPA   Vlan506
Internet  172.19.145.42           0   588d.0937.b404  ARPA   Vlan508
Internet  172.16.73.241          47   0016.47e7.23c2  ARPA   Vlan16
Internet  172.19.140.55         226   001f.c968.4c40  ARPA   Vlan504
Internet  10.31.16.1              -   0000.0c07.ac0a  ARPA   Vlan500
Internet  172.19.152.35           0   0021.d848.6692  ARPA   Vlan516
Internet  172.19.146.41           0   0022.9090.b636  ARPA   Vlan510
Internet  172.19.150.45           0   0022.bd1a.0588  ARPA   Vlan514
Internet  172.19.144.43         214   0025.465c.af40  ARPA   Vlan508
Internet  172.19.124.199          0   1cdf.0f95.1206  ARPA   Vlan500
Internet  10.31.2.18              0   Incomplete      ARPA   
Internet  10.31.5.21              0   Incomplete      ARPA   
Internet  10.31.7.23              8   40a6.d9bf.1095  ARPA   Vlan500
Internet  10.31.0.16             44   0023.eb01.cf0b  ARPA   Vlan500
Internet  10.31.81.65            51   f81e.df31.ea4a  ARPA   Vlan504
Internet  10.31.176.160           9   0026.37a4.45b4  ARPA   Vlan510
Internet  10.31.80.64           118   001a.923d.fccb  ARPA   Vlan504
Internet  10.31.177.161           1   78d6.f07b.c779  ARPA   Vlan510
Internet  10.31.145.129         212   0021.e9db.d727  ARPA   Vlan508
Internet  10.31.240.224         192   18e7.f4f0.38fd  ARPA   Vlan516
Internet  10.31.15.31           107   7cc5.3769.ca8a  ARPA   Vlan500
Internet  10.31.75.91             0   c8bc.c846.b897  ARPA   Vlan504
Internet  172.19.142.52           0   001f.ca28.4830  ARPA   Vlan506
Internet  10.31.96.112           13   001e.c2f4.70dc  ARPA   Vlan506
Internet  172.19.145.43           0   6400.f13d.369d  ARPA   Vlan508
Internet  172.16.73.240          47   0016.47e7.38c2  ARPA   Vlan16
Internet  172.19.140.54           0   001e.be27.6a3e  ARPA   Vlan504
Internet  172.19.146.40           0   0022.9090.b13a  ARPA   Vlan510
Internet  172.19.124.198          0   f866.f2ee.7d2b  ARPA   Vlan500
Internet  172.19.152.34           0   0021.d848.66e2  ARPA   Vlan516
Internet  172.19.144.42         213   0025.465c.b740  ARPA   Vlan508
Internet  172.19.150.44           0   0022.bd18.777a  ARPA   Vlan514
Internet  10.31.112.99           67   40d3.2d93.1d67  ARPA   Vlan506
Internet  10.31.129.146           0   0026.821f.6a46  ARPA   Vlan508
Internet  10.31.80.67            98   0026.b094.d176  ARPA   Vlan504
Internet  10.31.5.22             86   cc08.e01b.c86d  ARPA   Vlan500
Internet  10.31.111.124          52   581f.aa12.e366  ARPA   Vlan506
Internet  172.19.142.55           0   001f.9e8e.d266  ARPA   Vlan506
Internet  172.19.145.40           0   588d.0959.31ef  ARPA   Vlan508
Internet  10.31.16.3            223   0018.742f.a3c0  ARPA   Vlan500
Internet  172.19.140.53           0   0019.5542.054e  ARPA   Vlan504
Internet  172.19.146.43           0   0022.9090.afee  ARPA   Vlan510
Internet  172.19.152.33           0   0023.33bb.fc96  ARPA   Vlan516
Internet  172.19.124.197          0   1cdf.0f95.0fd5  ARPA   Vlan500
Internet  172.19.150.47           0   6400.f13d.2f4f  ARPA   Vlan514
Internet  172.19.144.41         178   0012.f283.4ad4  ARPA   Vlan508
Internet  10.31.0.18             11   0026.0bf1.d5cb  ARPA   Vlan500
Internet  10.31.207.221          22   0016.ea83.e9dc  ARPA   Vlan514
Internet  10.31.176.162          19   0025.0047.a1c0  ARPA   Vlan510
Internet  10.31.111.125           1   0023.153f.10b4  ARPA   Vlan506
Internet  10.31.49.35           151   0023.68bc.60ac  ARPA   Vlan502
Internet  10.31.177.163         188   041e.6421.54ae  ARPA   Vlan510
Internet  10.31.240.226         215   0023.685d.ee8c  ARPA   Vlan516
Internet  10.31.113.99           13   109a.dd2f.9473  ARPA   Vlan506
Internet  10.31.96.114            5   7c6d.6278.5c01  ARPA   Vlan506
Internet  172.19.142.54           0   001f.ca26.6af6  ARPA   Vlan506
Internet  172.19.150.46           0   0022.bd19.f47d  ARPA   Vlan514
Internet  172.19.145.41           0   6400.f1d5.9248  ARPA   Vlan508
Internet  172.19.140.52           0   0019.5542.141a  ARPA   Vlan504
Internet  10.31.16.2              -   0018.741c.a180  ARPA   Vlan500
Internet  172.19.60.132           0   000b.45b0.eafc  ARPA   Vlan400
Internet  172.19.124.196          0   1cdf.0f95.11f6  ARPA   Vlan500
Internet  172.19.144.40         215   0026.52a5.1dc0  ARPA   Vlan508
Internet  172.19.146.42           0   0022.9090.a3b9  ARPA   Vlan510
Internet  172.19.152.32           0   0021.d848.6622  ARPA   Vlan516
Internet  10.31.113.108          85   0026.08dd.90ac  ARPA   Vlan506
Internet  10.31.15.18           145   e4ce.8f4d.a456  ARPA   Vlan500
Internet  10.31.176.173         224   a088.b47f.c2a0  ARPA   Vlan510
Internet  10.31.80.77            73   0023.68bc.7abd  ARPA   Vlan504
Internet  10.31.177.172           0   d8a2.5e8b.42f4  ARPA   Vlan510
Internet  10.31.49.44            18   d830.6252.a61b  ARPA   Vlan502
Internet  10.31.111.114           3   d830.624c.6c37  ARPA   Vlan506
Internet  172.19.142.57           0   001e.f7ee.335c  ARPA   Vlan506
Internet  172.19.145.38           0   c84c.75ee.05b9  ARPA   Vlan508
Internet  172.19.140.59           0   001e.be25.23d0  ARPA   Vlan504
Internet  172.19.152.47           0   0023.33bb.fbd0  ARPA   Vlan516
Internet  172.19.146.37           0   0022.9090.bae7  ARPA   Vlan510
Internet  172.19.144.39         214   0026.5133.5ec0  ARPA   Vlan508
Internet  172.19.124.203          0   001b.0cfb.ede2  ARPA   Vlan500
Internet  172.19.150.33           0   0022.bd19.f541  ARPA   Vlan514
Internet  10.31.0.28             60   0023.eb01.cd4b  ARPA   Vlan500
Internet  10.31.1.29            123   d89e.3f72.e024  ARPA   Vlan500
Internet  10.31.240.236           7   64a7.6998.6ef6  ARPA   Vlan516
Internet  10.31.81.77           197   9027.e450.1760  ARPA   Vlan504
Internet  10.31.145.141         101   0014.a5ea.5dd8  ARPA   Vlan508
Internet  10.31.15.19           221   7cc5.3788.c096  ARPA   Vlan500
Internet  10.31.144.140          19   0025.bcf3.82a7  ARPA   Vlan508
Internet  10.31.49.45             3   d830.6252.b34c  ARPA   Vlan502
Internet  172.19.142.56           0   001e.f7ed.ee70  ARPA   Vlan506
Internet  172.19.145.39           0   d0d0.fd45.5525  ARPA   Vlan508
Internet  172.19.140.58           0   001e.be25.23bc  ARPA   Vlan504
Internet  172.19.146.36           0   0022.9091.1685  ARPA   Vlan510
Internet  172.19.152.46           0   0023.33bb.fc16  ARPA   Vlan516
Internet  172.19.124.202          0   0019.3076.8e46  ARPA   Vlan500
Internet  172.19.144.38         215   0026.5133.77c0  ARPA   Vlan508
Internet  172.19.150.32           0   0022.bd19.f462  ARPA   Vlan514
Internet  10.31.176.175          91   0025.4bed.20fe  ARPA   Vlan510
Internet  10.31.177.174         221   24ab.81c9.78fd  ARPA   Vlan510
Internet  10.31.240.239         235   0023.156b.f840  ARPA   Vlan516
Internet  10.31.15.16             5   a4d1.d26b.e422  ARPA   Vlan500
Internet  10.31.130.157         197   2837.3719.39a4  ARPA   Vlan508
Internet  10.31.49.46             9   7c6d.6275.7c43  ARPA   Vlan502
Internet  172.19.142.59           0   001f.ca26.fcac  ARPA   Vlan506
Internet  172.19.145.36           0   6400.f13d.2f4e  ARPA   Vlan508
Internet  172.19.140.57           0   001a.6ccb.78a4  ARPA   Vlan504
Internet  172.19.150.35           0   0022.bd19.f337  ARPA   Vlan514
Internet  172.19.146.39         213   0018.19f6.d140  ARPA   Vlan510
Internet  172.19.152.45           0   0021.d848.663a  ARPA   Vlan516
Internet  172.19.124.201          0   001b.0cfb.effe  ARPA   Vlan500
Internet  172.19.144.37         213   0026.5195.0140  ARPA   Vlan508
Internet  10.31.240.238           0   0026.bb1b.eb9c  ARPA   Vlan516
Internet  10.31.176.174           1   0021.6a7c.1040  ARPA   Vlan510
Internet  10.31.177.175         131   cc08.e067.aca9  ARPA   Vlan510
Internet  10.31.144.142         198   0026.08af.1976  ARPA   Vlan508
Internet  10.31.108.114         157   a467.0612.e137  ARPA   Vlan506
Internet  10.31.48.46            12   001e.c2f4.98b3  ARPA   Vlan502
Internet  172.19.78.250          20   0023.7d86.277c  ARPA   Vlan489
Internet  172.19.142.58           0   001f.ca26.fbcc  ARPA   Vlan506
Internet  172.19.145.37           0   6400.f13d.2f57  ARPA   Vlan508
Internet  10.31.131.157          58   000d.4b3e.28fb  ARPA   Vlan508
Internet  172.19.140.56           0   0019.5508.5aea  ARPA   Vlan504
Internet  172.19.146.38         212   0018.19f6.cb40  ARPA   Vlan510
Internet  172.19.152.44           0   0021.d848.6606  ARPA   Vlan516
Internet  172.19.144.36         214   0026.5133.3cc0  ARPA   Vlan508
Internet  172.19.124.200          0   0019.3076.79da  ARPA   Vlan500
Internet  172.19.150.34           0   0022.bd1a.03fd  ARPA   Vlan514
Internet  10.31.144.137           8   0021.5d03.ee7a  ARPA   Vlan508
Internet  10.31.111.118          53   0026.bb0a.7c1e  ARPA   Vlan506
Internet  10.31.113.104         114   e0f8.47dc.c79e  ARPA   Vlan506
Internet  10.31.112.105         143   0026.08a2.a3bf  ARPA   Vlan506
Internet  10.31.145.136         152   7cc5.37a6.d3f4  ARPA   Vlan508
Internet  172.19.142.61           0   001f.ca28.41de  ARPA   Vlan506
Internet  172.19.145.34           0   d0d0.fd65.27fe  ARPA   Vlan508
Internet  172.19.140.63           0   001a.a233.5b8a  ARPA   Vlan504
Internet  172.19.146.33           0   0022.9090.b82a  ARPA   Vlan510
Internet  172.19.152.43           0   0021.d848.66be  ARPA   Vlan516
Internet  172.19.124.207          0   0019.3076.7b20  ARPA   Vlan500
Internet  172.19.144.35         216   0026.513d.bbc0  ARPA   Vlan508
Internet  10.31.0.24             10   0023.eb01.cd0b  ARPA   Vlan500
Internet  10.31.130.154           1   78e4.003a.3aad  ARPA   Vlan508
Internet  10.31.207.215          99   cc08.e023.e8da  ARPA   Vlan514
Internet  10.31.144.136         194   d8a2.5e51.d5e1  ARPA   Vlan508
Internet  10.31.177.169         210   5c59.480c.4b85  ARPA   Vlan510
Internet  10.31.75.83           224   8ca9.8252.d050  ARPA   Vlan504
Internet  10.31.32.56            56   109a.ddb7.c9d5  ARPA   Vlan502
Internet  10.31.234.242          21   e0f8.473f.b576  ARPA   Vlan516
Internet  10.31.111.119         217   001e.c2a5.81b5  ARPA   Vlan506
Internet  10.31.145.137         162   d8a2.5e45.24ed  ARPA   Vlan508
Internet  172.19.142.60           0   001f.ca28.0648  ARPA   Vlan506
Internet  172.19.140.62           0   001a.6ccb.79aa  ARPA   Vlan504
Internet  172.19.152.42           0   0021.d848.66ae  ARPA   Vlan516
Internet  172.19.124.206          0   0019.3076.78ea  ARPA   Vlan500
Internet  172.19.146.32           0   0022.9090.9f2a  ARPA   Vlan510
Internet  172.19.144.34         215   0024.c31e.d6c0  ARPA   Vlan508
Internet  172.19.150.36           0   0022.bd1a.02d7  ARPA   Vlan514
Internet  10.31.1.26              0   1c4b.d6f3.2824  ARPA   Vlan500
Internet  10.31.176.171          71   cc08.e053.a65c  ARPA   Vlan510
Internet  10.31.112.107         133   0024.d74b.9634  ARPA   Vlan506
Internet  10.31.144.139           0   0022.41fc.4a7a  ARPA   Vlan508
Internet  10.31.177.170         192   dc2b.610f.4300  ARPA   Vlan510
Internet  10.31.49.42            12   b8c7.5d1b.86e3  ARPA   Vlan502
Internet  10.31.15.20           136   4030.049f.1abf  ARPA   Vlan500
Internet  10.31.168.179         177   0026.08e2.8fc1  ARPA   Vlan510
Internet  10.31.96.123            9   d830.624b.11da  ARPA   Vlan506
Internet  172.19.142.63           0   001f.ca28.4222  ARPA   Vlan506
Internet  172.19.140.61         226   001f.9dfb.4f40  ARPA   Vlan504
Internet  172.19.146.35           0   0022.9090.b795  ARPA   Vlan510
Internet  172.19.152.41           0   0023.33bb.fc50  ARPA   Vlan516
Internet  172.19.124.205          0   0017.95fb.0cbf  ARPA   Vlan500
Internet  172.19.144.33         214   0026.52a5.1c40  ARPA   Vlan508
Internet  172.19.150.39           0   0022.bd19.f507  ARPA   Vlan514
Internet  10.31.0.26             42   0026.0bf1.d52b  ARPA   Vlan500
Internet  10.31.145.139         107   6033.4bfd.6326  ARPA   Vlan508
Internet  10.31.32.58           217   0026.08de.6cd0  ARPA   Vlan502
Internet  10.31.144.138         179   cc08.e066.2cdd  ARPA   Vlan508
Internet  10.31.15.21           210   7cc5.3766.504e  ARPA   Vlan500
Internet  10.31.131.153          84   0022.fbc2.8acc  ARPA   Vlan508
Internet  10.31.111.117          91   9027.e439.57f7  ARPA   Vlan506
Internet  172.19.142.62         198   0022.0cbc.1bc0  ARPA   Vlan506
Internet  172.19.145.33           0   c84c.75ae.8432  ARPA   Vlan508
Internet  172.19.140.60           0   001e.be27.7f50  ARPA   Vlan504
Internet  172.19.124.204          0   0019.3052.d3c3  ARPA   Vlan500
Internet  172.19.144.32         214   0026.52a4.cac0  ARPA   Vlan508
Internet  172.19.146.34           0   0022.9090.ba1f  ARPA   Vlan510
Internet  172.19.152.40           0   0023.33bb.fc0e  ARPA   Vlan516
Internet  172.19.150.38           0   0022.bd19.f115  ARPA   Vlan514
