Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  172.19.142.49           0   001e.7abe.dc76  ARPA   Vlan506
Internet  10.31.176.165           5   0023.68bc.707a  ARPA   Vlan510
Internet  172.19.150.41           0   0022.bd1a.0619  ARPA   Vlan514
Internet  172.19.124.195          0   c471.fed9.391b  ARPA   Vlan500
Internet  172.19.144.47           0   0022.9091.23fe  ARPA   Vlan508
Internet  172.19.152.39           0   0023.33bb.fb90  ARPA   Vlan516
Internet  172.19.140.51           0   001e.be25.23b4  ARPA   Vlan504
Internet  172.19.61.130           0   0018.741c.a180  ARPA   Vlan368
Internet  172.19.60.131           -   0018.742f.a3c0  ARPA   Vlan400
Internet  10.31.96.116            3   d830.6249.9e99  ARPA   Vlan506
Internet  10.31.144.132          14   38e7.d87c.6f45  ARPA   Vlan508
Internet  172.19.142.48           0   001d.e556.dc0c  ARPA   Vlan506
Internet  172.19.144.46           0   0022.9091.2496  ARPA   Vlan508
Internet  172.19.145.47         126   0026.52a5.eac0  ARPA   Vlan508
Internet  172.19.124.194          0   e05f.b91c.78c5  ARPA   Vlan500
Internet  172.19.146.44           0   0022.9090.a925  ARPA   Vlan510
Internet  172.19.152.38           0   0021.d848.66c2  ARPA   Vlan516
Internet  172.19.140.50           0   0019.5508.5ac4  ARPA   Vlan504
Internet  172.19.60.130           0   0018.741c.a180  ARPA   Vlan400
Internet  172.19.61.131           -   0018.742f.a3c0  ARPA   Vlan368
Internet  10.31.111.120         170   0026.bb0c.779e  ARPA   Vlan506
Internet  172.19.142.51           0   001f.ca26.fb02  ARPA   Vlan506
Internet  172.19.144.45         228   aca0.1644.78c0  ARPA   Vlan508
Internet  172.19.146.47           0   0022.9090.b151  ARPA   Vlan510
Internet  172.19.152.37           0   0019.3076.4020  ARPA   Vlan516
Internet  172.19.140.49           0   0019.5508.5a52  ARPA   Vlan504
Internet  10.31.144.134         210   e806.88a4.6385  ARPA   Vlan508
Internet  172.19.142.50           0   0023.33bb.fc12  ARPA   Vlan506
Internet  172.19.145.45           0   6400.f1d5.918b  ARPA   Vlan508
Internet  172.19.150.42           0   0022.bd18.85c2  ARPA   Vlan514
Internet  172.19.144.44          66   0025.465c.c0c0  ARPA   Vlan508
Internet  172.19.124.192          0   e05f.b91c.7763  ARPA   Vlan500
Internet  172.19.140.48         173   001f.c968.9040  ARPA   Vlan504
Internet  172.19.152.36           0   0017.95b1.1b26  ARPA   Vlan516
Internet  172.19.145.42           0   588d.0937.b404  ARPA   Vlan508
Internet  172.16.73.241          47   0016.47e7.23c2  ARPA   Vlan16
Internet  172.19.124.199          0   1cdf.0f95.1206  ARPA   Vlan500
Internet  172.19.144.43         135   0025.465c.af40  ARPA   Vlan508
Internet  172.19.140.55         173   001f.c968.4c40  ARPA   Vlan504
Internet  172.19.146.41           0   0022.9090.b636  ARPA   Vlan510
Internet  172.19.152.35           0   0021.d848.6692  ARPA   Vlan516
Internet  10.31.80.64           118   001a.923d.fccb  ARPA   Vlan504
Internet  172.19.142.52           0   001f.ca28.4830  ARPA   Vlan506
Internet  172.19.124.198          0   f866.f2ee.7d2b  ARPA   Vlan500
Internet  172.16.73.240          47   0016.47e7.38c2  ARPA   Vlan16
Internet  172.19.150.44           0   0022.bd18.777a  ARPA   Vlan514
Internet  172.19.144.42         216   0025.465c.b740  ARPA   Vlan508
Internet  172.19.140.54           0   001e.be27.6a3e  ARPA   Vlan504
Internet  172.19.145.40           0   588d.0959.31ef  ARPA   Vlan508
Internet  172.19.142.55           0   001f.9e8e.d266  ARPA   Vlan506
Internet  172.19.124.197          0   1cdf.0f95.0fd5  ARPA   Vlan500
Internet  172.19.144.41         177   0012.f283.4ad4  ARPA   Vlan508
Internet  10.31.16.3              -   0018.742f.a3c0  ARPA   Vlan500
Internet  172.19.146.43           0   0022.9090.afee  ARPA   Vlan510
Internet  172.19.140.53           0   0019.5542.054e  ARPA   Vlan504
Internet  10.31.240.226         215   0023.685d.ee8c  ARPA   Vlan516
Internet  172.19.142.54           0   001f.ca26.6af6  ARPA   Vlan506
Internet  172.19.124.196          0   1cdf.0f95.11f6  ARPA   Vlan500
Internet  10.31.16.2              3   0018.741c.a180  ARPA   Vlan500
Internet  172.19.144.40         203   0026.52a5.1dc0  ARPA   Vlan508
Internet  172.19.146.42           0   0022.9090.a3b9  ARPA   Vlan510
Internet  172.19.152.32           0   0021.d848.6622  ARPA   Vlan516
Internet  172.19.140.52           0   0019.5542.141a  ARPA   Vlan504
Internet  172.19.60.132           0   000b.45b0.eafc  ARPA   Vlan400
Internet  10.31.113.108          85   0026.08dd.90ac  ARPA   Vlan506
Internet  172.19.145.38           0   c84c.75ee.05b9  ARPA   Vlan508
Internet  172.19.142.57           0   001e.f7ee.335c  ARPA   Vlan506
Internet  172.19.144.39         153   0026.5133.5ec0  ARPA   Vlan508
Internet  172.19.124.203          0   001b.0cfb.ede2  ARPA   Vlan500
Internet  172.19.150.33           0   0022.bd19.f541  ARPA   Vlan514
