Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  172.24.68.240           4   0013.2048.6e0c  ARPA   Vlan68
Internet  10.79.12.73           147   0030.4859.a116  ARPA   Vlan912
Internet  171.64.64.171          13   0050.56a7.01e4  ARPA   Vlan64
Internet  171.64.74.161         211   001f.bc09.02a9  ARPA   Vlan74
Internet  171.64.100.143          0   0800.20a7.7037  ARPA   Vlan100
Internet  171.67.76.164           1   0030.487f.5152  ARPA   Vlan376
Internet  171.67.234.2            -   00d0.055d.2400  ARPA   Vlan374
Internet  171.64.75.161           0   Incomplete      ARPA   
Internet  171.64.70.172          58   a4d1.d246.1474  ARPA   Vlan70
Internet  172.24.100.209        210   0800.3743.b9ed  ARPA   Vlan100
Internet  172.27.75.253          51   d8b3.77f6.f466  ARPA   Vlan374
Internet  171.67.234.3            2   001a.3001.fc00  ARPA   Vlan374
Internet  172.24.94.235          38   0011.bb40.1428  ARPA   Vlan94
Internet  171.64.99.137           9   0800.09e5.bd2a  ARPA   Vlan99
Internet  10.79.12.72            25   0030.4859.db5e  ARPA   Vlan912
Internet  171.64.68.174           5   0011.114b.f7d0  ARPA   Vlan68
Internet  171.64.74.160           1   0017.31ed.8d28  ARPA   Vlan74
Internet  171.64.74.163           0   1cc1.de21.eb12  ARPA   Vlan74
Internet  10.79.12.75            92   0030.4859.a11e  ARPA   Vlan912
Internet  171.64.71.175           0   Incomplete      ARPA   
Internet  171.64.100.140         59   0014.d1f0.d767  ARPA   Vlan100
Internet  171.64.93.181           0   000d.5620.8bc9  ARPA   Vlan92
Internet  171.67.234.1            -   00d0.055d.2400  ARPA   Vlan374
Internet  171.64.101.141          0   0014.4f49.f254  ARPA   Vlan100
Internet  10.79.12.74            61   0030.4859.dd9c  ARPA   Vlan912
Internet  171.64.64.168         152   0005.020b.32ce  ARPA   Vlan64
Internet  172.24.68.243           8   0014.222a.ac96  ARPA   Vlan68
Internet  171.64.73.161           1   0800.2093.d047  ARPA   Vlan72
Internet  172.24.100.212          7   0017.42c1.36a3  ARPA   Vlan100
Internet  171.64.70.169           0   0018.0a30.0362  ARPA   Vlan70
Internet  172.24.72.248           0   0025.900a.6faa  ARPA   Vlan72
Internet  171.64.91.180           0   0013.2040.5390  ARPA   Vlan90
Internet  172.24.94.238          39   0011.bb40.1474  ARPA   Vlan94
Internet  171.64.74.165         162   d485.6477.e3b4  ARPA   Vlan74
Internet  10.79.12.77           200   0030.4859.ddc4  ARPA   Vlan912
Internet  172.24.68.245           1   0022.6b79.a659  ARPA   Vlan68
Internet  172.24.96.209           1   0024.2119.528c  ARPA   Vlan96
Internet  172.24.101.212         93   0011.bb81.5dab  ARPA   Vlan100
Internet  171.64.90.180           0   0040.8cac.2c00  ARPA   Vlan90
Internet  171.64.94.176          10   00b0.d090.4b9c  ARPA   Vlan94
Internet  172.24.94.239          38   0011.bb40.145f  ARPA   Vlan94
Internet  171.64.91.181           0   001e.4fa8.aab0  ARPA   Vlan90
Internet  10.79.12.76            70   0030.4859.a166  ARPA   Vlan912
Internet  171.64.97.140           0   Incomplete      ARPA   
Internet  172.24.72.250           0   0003.bad8.d770  ARPA   Vlan72
Internet  172.24.68.246           0   0030.1b81.eaf1  ARPA   Vlan68
Internet  172.24.94.236          39   0011.bb40.16a6  ARPA   Vlan94
Internet  171.67.65.175          69   0030.1bbc.46b8  ARPA   Vlan365
Internet  171.64.91.182           3   0012.3fa7.bab4  ARPA   Vlan90
Internet  171.64.93.176           6   001a.4b53.eb8b  ARPA   Vlan92
Internet  172.27.75.251           2   0023.768d.4902  ARPA   Vlan374
Internet  172.24.100.215          6   000d.9356.1018  ARPA   Vlan100
Internet  172.24.101.214        126   0011.bb76.bafc  ARPA   Vlan100
Internet  171.64.94.178          15   c42c.0310.9b56  ARPA   Vlan94
Internet  171.64.74.166           0   78e7.d194.483a  ARPA   Vlan74
Internet  10.79.12.78            87   0030.4859.c39e  ARPA   Vlan912
Internet  172.24.72.251           0   0000.1a1a.10bb  ARPA   Vlan72
Internet  171.64.93.190           1   0021.9b29.5df3  ARPA   Vlan92
Internet  171.64.66.161           1   001e.c929.9239  ARPA   Vlan66
Internet  171.64.71.164           1   0060.b027.9c3e  ARPA   Vlan71
