Prefix               Next Hop             Interface
0.0.0.0/0            172.20.4.1           TenGigabitEthernet1/3.2
0.0.0.0/8            drop
0.0.0.0/32           receive              
10.0.0.0/8           172.20.4.1           TenGigabitEthernet1/3.2
10.3.0.0/16          172.24.74.11         Vlan74
10.3.0.1/32          receive              Loopback3
10.3.255.254/32      172.20.10.130        Vlan10
10.20.0.0/16         172.20.4.1           TenGigabitEthernet1/3.2
10.37.4.0/24         attached             Vlan3704
10.37.4.0/32         receive              Vlan3704
10.37.4.1/32         receive              Vlan3704
10.37.4.2/32         attached             Vlan3704
10.37.4.3/32         attached             Vlan3704
10.37.4.255/32       receive              Vlan3704
10.39.0.0/16         172.20.4.1           TenGigabitEthernet1/3.2
10.39.0.0/17         172.20.4.1           TenGigabitEthernet1/3.2
10.39.16.0/22        172.20.4.1           TenGigabitEthernet1/3.2
10.39.32.0/20        172.20.4.1           TenGigabitEthernet1/3.2
10.48.8.0/23         172.20.4.161         TenGigabitEthernet1/3.2
10.48.12.0/22        172.20.4.161         TenGigabitEthernet1/3.2
10.48.16.0/21        172.20.4.161         TenGigabitEthernet1/3.2
10.48.32.0/19        172.20.4.161         TenGigabitEthernet1/3.2
10.50.0.0/16         172.20.4.1           TenGigabitEthernet1/3.2
10.62.0.0/20         172.20.4.1           TenGigabitEthernet1/3.2
10.62.32.0/20        172.20.4.1           TenGigabitEthernet1/3.2
10.62.48.0/20        172.20.4.1           TenGigabitEthernet1/3.2
10.62.64.0/20        192.168.209.34       Vlan209
10.62.80.0/20        172.20.4.161         TenGigabitEthernet1/3.2
10.62.96.0/20        172.20.4.1           TenGigabitEthernet1/3.2
10.62.112.0/20       172.20.4.1           TenGigabitEthernet1/3.2
10.62.144.0/20       172.20.4.1           TenGigabitEthernet1/3.2
10.63.32.0/20        172.20.4.1           TenGigabitEthernet1/3.2
10.63.48.0/20        172.20.4.1           TenGigabitEthernet1/3.2
10.63.80.0/20        172.20.4.161         TenGigabitEthernet1/3.2
10.63.96.0/20        172.20.4.1           TenGigabitEthernet1/3.2
10.63.112.0/20       172.20.4.1           TenGigabitEthernet1/3.2
10.75.216.0/22       172.20.4.161         TenGigabitEthernet1/3.2
10.75.223.0/24       172.20.4.161         TenGigabitEthernet1/3.2
10.79.0.0/24         attached             Vlan900
10.79.0.0/32         receive              Vlan900
10.79.0.1/32         receive              
10.79.0.2/32         receive              Vlan900
10.79.0.255/32       receive              Vlan900
10.79.1.0/24         attached             Vlan901
10.79.1.0/32         receive              Vlan901
10.79.1.1/32         receive              
10.79.1.2/32         receive              Vlan901
10.79.1.255/32       receive              Vlan901
10.79.2.0/24         attached             Vlan902
10.79.2.0/32         receive              Vlan902
10.79.2.1/32         receive              
10.79.2.2/32         receive              Vlan902
10.79.2.255/32       receive              Vlan902
10.79.3.0/24         attached             Vlan903
10.79.3.0/32         receive              Vlan903
10.79.3.1/32         receive              
10.79.3.2/32         receive              Vlan903
10.79.3.255/32       receive              Vlan903
10.79.4.0/24         attached             Vlan904
10.79.4.0/32         receive              Vlan904
10.79.4.1/32         receive              
10.79.4.2/32         receive              Vlan904
10.79.4.255/32       receive              Vlan904
10.79.5.0/24         attached             Vlan905
10.79.5.0/32         receive              Vlan905
10.79.5.1/32         receive              
10.79.5.2/32         receive              Vlan905
10.79.5.255/32       receive              Vlan905
10.79.6.0/24         attached             Vlan906
10.79.6.0/32         receive              Vlan906
10.79.6.1/32         receive              
10.79.6.2/32         receive              Vlan906
10.79.6.255/32       receive              Vlan906
10.79.7.0/24         attached             Vlan907
10.79.7.0/32         receive              Vlan907
10.79.7.1/32         receive              
10.79.7.2/32         receive              Vlan907
10.79.7.255/32       receive              Vlan907
10.79.8.0/24         attached             Vlan908
10.79.8.0/32         receive              Vlan908
10.79.8.1/32         receive              
10.79.8.2/32         receive              Vlan908
10.79.8.255/32       receive              Vlan908
10.79.9.0/24         attached             Vlan909
10.79.9.0/32         receive              Vlan909
10.79.9.1/32         receive              
10.79.9.2/32         receive              Vlan909
10.79.9.255/32       receive              Vlan909
10.79.10.0/24        attached             Vlan910
10.79.10.0/32        receive              Vlan910
10.79.10.1/32        receive              
10.79.10.2/32        receive              Vlan910
10.79.10.6/32        attached             Vlan910
10.79.10.7/32        attached             Vlan910
10.79.10.8/32        attached             Vlan910
10.79.10.198/32      attached             Vlan910
10.79.10.199/32      attached             Vlan910
10.79.10.255/32      receive              Vlan910
10.79.11.0/24        attached             Vlan911
10.79.11.0/32        receive              Vlan911
10.79.11.1/32        receive              
10.79.11.2/32        receive              Vlan911
10.79.11.4/32        attached             Vlan911
10.79.11.5/32        attached             Vlan911
10.79.11.6/32        attached             Vlan911
10.79.11.7/32        attached             Vlan911
10.79.11.255/32      receive              Vlan911
10.79.12.0/24        attached             Vlan912
10.79.12.0/32        receive              Vlan912
10.79.12.2/32        receive              Vlan912
10.79.12.3/32        attached             Vlan912
