Prefix               Next Hop             Interface
0.0.0.0/0            172.20.4.1           TenGigabitEthernet2/1.2
0.0.0.0/8            drop
0.0.0.0/32           receive              
10.0.0.0/8           172.20.4.1           TenGigabitEthernet2/1.2
10.3.0.0/16          172.24.74.11         Vlan74
10.3.0.1/32          172.20.10.129        Vlan10
10.3.255.254/32      receive              Loopback3
10.20.0.0/16         172.20.4.1           TenGigabitEthernet2/1.2
10.39.0.0/16         172.20.4.1           TenGigabitEthernet2/1.2
10.39.0.0/17         172.20.4.1           TenGigabitEthernet2/1.2
10.39.16.0/22        172.20.4.1           TenGigabitEthernet2/1.2
10.39.32.0/20        172.20.4.1           TenGigabitEthernet2/1.2
10.48.8.0/23         172.20.4.161         TenGigabitEthernet2/1.2
10.48.12.0/22        172.20.4.161         TenGigabitEthernet2/1.2
10.48.16.0/21        172.20.4.161         TenGigabitEthernet2/1.2
10.48.32.0/19        172.20.4.161         TenGigabitEthernet2/1.2
10.50.0.0/16         172.20.4.1           TenGigabitEthernet2/1.2
10.62.0.0/20         172.20.4.1           TenGigabitEthernet2/1.2
10.62.32.0/20        172.20.4.1           TenGigabitEthernet2/1.2
10.62.48.0/20        172.20.4.1           TenGigabitEthernet2/1.2
10.62.80.0/20        172.20.4.161         TenGigabitEthernet2/1.2
10.62.96.0/20        172.20.4.1           TenGigabitEthernet2/1.2
10.62.112.0/20       172.20.4.1           TenGigabitEthernet2/1.2
10.62.144.0/20       172.20.4.1           TenGigabitEthernet2/1.2
10.63.32.0/20        172.20.4.1           TenGigabitEthernet2/1.2
10.63.48.0/20        172.20.4.1           TenGigabitEthernet2/1.2
10.63.80.0/20        172.20.4.161         TenGigabitEthernet2/1.2
10.63.96.0/20        172.20.4.1           TenGigabitEthernet2/1.2
10.63.112.0/20       172.20.4.1           TenGigabitEthernet2/1.2
10.75.216.0/22       172.20.4.161         TenGigabitEthernet2/1.2
10.75.223.0/24       172.20.4.161         TenGigabitEthernet2/1.2
10.79.12.0/24        attached             Vlan912
10.79.12.0/32        receive              Vlan912
10.79.12.1/32        receive              
10.79.12.2/32        attached             Vlan912
10.79.12.3/32        receive              Vlan912
10.79.12.10/32       attached             Vlan912
10.79.12.11/32       attached             Vlan912
10.79.12.12/32       attached             Vlan912
10.79.12.13/32       attached             Vlan912
10.79.12.14/32       attached             Vlan912
10.79.12.15/32       attached             Vlan912
10.79.12.16/32       attached             Vlan912
10.79.12.19/32       attached             Vlan912
10.79.12.20/32       attached             Vlan912
10.79.12.22/32       attached             Vlan912
10.79.12.23/32       attached             Vlan912
10.79.12.24/32       attached             Vlan912
10.79.12.25/32       attached             Vlan912
10.79.12.27/32       attached             Vlan912
10.79.12.28/32       attached             Vlan912
10.79.12.29/32       attached             Vlan912
10.79.12.30/32       attached             Vlan912
10.79.12.31/32       attached             Vlan912
10.79.12.32/32       attached             Vlan912
10.79.12.33/32       attached             Vlan912
10.79.12.36/32       attached             Vlan912
10.79.12.40/32       attached             Vlan912
10.79.12.41/32       attached             Vlan912
10.79.12.42/32       attached             Vlan912
10.79.12.43/32       attached             Vlan912
10.79.12.44/32       attached             Vlan912
10.79.12.45/32       attached             Vlan912
10.79.12.46/32       attached             Vlan912
10.79.12.47/32       attached             Vlan912
10.79.12.48/32       attached             Vlan912
10.79.12.49/32       attached             Vlan912
10.79.12.50/32       attached             Vlan912
10.79.12.51/32       attached             Vlan912
10.79.12.52/32       attached             Vlan912
10.79.12.53/32       attached             Vlan912
10.79.12.54/32       attached             Vlan912
10.79.12.55/32       attached             Vlan912
10.79.12.56/32       attached             Vlan912
10.79.12.57/32       attached             Vlan912
10.79.12.58/32       attached             Vlan912
10.79.12.59/32       attached             Vlan912
10.79.12.60/32       attached             Vlan912
10.79.12.61/32       attached             Vlan912
10.79.12.62/32       attached             Vlan912
10.79.12.63/32       attached             Vlan912
10.79.12.64/32       attached             Vlan912
10.79.12.65/32       attached             Vlan912
10.79.12.66/32       attached             Vlan912
10.79.12.67/32       attached             Vlan912
10.79.12.68/32       attached             Vlan912
10.79.12.69/32       attached             Vlan912
10.79.12.70/32       attached             Vlan912
10.79.12.71/32       attached             Vlan912
10.79.12.72/32       attached             Vlan912
10.79.12.73/32       attached             Vlan912
10.79.12.74/32       attached             Vlan912
10.79.12.75/32       attached             Vlan912
10.79.12.76/32       attached             Vlan912
10.79.12.77/32       attached             Vlan912
10.79.12.78/32       attached             Vlan912
10.79.12.80/32       attached             Vlan912
10.79.12.82/32       attached             Vlan912
10.79.12.83/32       attached             Vlan912
10.79.12.84/32       attached             Vlan912
10.79.12.85/32       attached             Vlan912
10.79.12.86/32       attached             Vlan912
10.79.12.87/32       attached             Vlan912
10.79.12.88/32       attached             Vlan912
10.79.12.89/32       attached             Vlan912
10.79.12.90/32       attached             Vlan912
10.79.12.91/32       attached             Vlan912
10.79.12.92/32       attached             Vlan912
10.79.12.93/32       attached             Vlan912
10.79.12.95/32       attached             Vlan912
10.79.12.96/32       attached             Vlan912
10.79.12.97/32       attached             Vlan912
10.79.12.98/32       attached             Vlan912
10.79.12.99/32       attached             Vlan912
10.79.12.100/32      attached             Vlan912
10.79.12.114/32      attached             Vlan912
10.79.12.116/32      attached             Vlan912
10.79.12.117/32      attached             Vlan912
10.79.12.118/32      attached             Vlan912
10.79.12.119/32      attached             Vlan912
10.79.12.120/32      attached             Vlan912
10.79.12.121/32      attached             Vlan912
10.79.12.122/32      attached             Vlan912
10.79.12.123/32      attached             Vlan912
10.79.12.124/32      attached             Vlan912
10.79.12.125/32      attached             Vlan912
10.79.12.126/32      attached             Vlan912
10.79.12.127/32      attached             Vlan912
10.79.12.128/32      attached             Vlan912
10.79.12.129/32      attached             Vlan912
10.79.12.130/32      attached             Vlan912
10.79.12.131/32      attached             Vlan912
10.79.12.132/32      attached             Vlan912
10.79.12.133/32      attached             Vlan912
10.79.12.134/32      attached             Vlan912
10.79.12.135/32      attached             Vlan912
10.79.12.136/32      attached             Vlan912
10.79.12.137/32      attached             Vlan912
10.79.12.138/32      attached             Vlan912
10.79.12.139/32      attached             Vlan912
10.79.12.140/32      attached             Vlan912
10.79.12.141/32      attached             Vlan912
10.79.12.142/32      attached             Vlan912
10.79.12.143/32      attached             Vlan912
10.79.12.144/32      attached             Vlan912
10.79.12.145/32      attached             Vlan912
10.79.12.146/32      attached             Vlan912
10.79.12.179/32      attached             Vlan912
10.79.12.180/32      attached             Vlan912
10.79.12.181/32      attached             Vlan912
10.79.12.182/32      attached             Vlan912
10.79.12.183/32      attached             Vlan912
10.79.12.184/32      attached             Vlan912
10.79.12.185/32      attached             Vlan912
10.79.12.186/32      attached             Vlan912
10.79.12.187/32      attached             Vlan912
10.79.12.188/32      attached             Vlan912
10.79.12.189/32      attached             Vlan912
10.79.12.190/32      attached             Vlan912
10.79.12.191/32      attached             Vlan912
10.79.12.192/32      attached             Vlan912
10.79.12.193/32      attached             Vlan912
10.79.12.194/32      attached             Vlan912
10.79.12.195/32      attached             Vlan912
10.79.12.196/32      attached             Vlan912
10.79.12.197/32      attached             Vlan912
10.79.12.198/32      attached             Vlan912
10.79.12.199/32      attached             Vlan912
10.79.12.200/32      attached             Vlan912
10.79.12.201/32      attached             Vlan912
10.79.12.202/32      attached             Vlan912
10.79.12.203/32      attached             Vlan912
10.79.12.204/32      attached             Vlan912
10.79.12.205/32      attached             Vlan912
10.79.12.206/32      attached             Vlan912
10.79.12.207/32      attached             Vlan912
10.79.12.208/32      attached             Vlan912
10.79.12.209/32      attached             Vlan912
10.79.12.210/32      attached             Vlan912
10.79.12.211/32      attached             Vlan912
10.79.12.212/32      attached             Vlan912
10.79.12.213/32      attached             Vlan912
10.79.12.214/32      attached             Vlan912
10.79.12.215/32      attached             Vlan912
10.79.12.216/32      attached             Vlan912
10.79.12.217/32      attached             Vlan912
10.79.12.218/32      attached             Vlan912
10.79.12.219/32      attached             Vlan912
10.79.12.233/32      attached             Vlan912
10.79.12.234/32      attached             Vlan912
10.79.12.235/32      attached             Vlan912
10.79.12.238/32      attached             Vlan912
10.79.12.239/32      attached             Vlan912
10.79.12.242/32      attached             Vlan912
10.79.12.245/32      attached             Vlan912
10.79.12.246/32      attached             Vlan912
10.79.12.250/32      attached             Vlan912
10.79.12.251/32      attached             Vlan912
10.79.12.253/32      attached             Vlan912
10.79.12.254/32      attached             Vlan912
10.79.12.255/32      receive              Vlan912
10.200.0.0/16        172.20.4.161         TenGigabitEthernet2/1.2
10.232.0.0/13        172.20.4.1           TenGigabitEthernet2/1.2
10.240.0.0/12        172.20.4.1           TenGigabitEthernet2/1.2
10.247.0.0/16        172.20.4.1           TenGigabitEthernet2/1.2
10.248.0.0/13        172.20.4.1           TenGigabitEthernet2/1.2
127.0.0.0/8          drop
128.12.0.0/16        172.20.4.1           TenGigabitEthernet2/1.2
169.254.0.0/16       attached             Null0
171.64.0.0/14        172.20.4.1           TenGigabitEthernet2/1.2
171.64.0.18/32       172.20.10.129        Vlan10
171.64.2.0/26        172.20.4.1           TenGigabitEthernet2/1.2
171.64.2.128/27      172.20.4.1           TenGigabitEthernet2/1.2
